file_name,classifier,accuracy,f-measure,confusionMatrixes
arcene-10-disc.arff-su-0.7-lcc.arff,SVC,0.86,0.8157894736842105,"[array([[11,  0],
       [ 1,  8]], dtype=int64), array([[11,  0],
       [ 2,  7]], dtype=int64), array([[10,  1],
       [ 5,  4]], dtype=int64), array([[11,  0],
       [ 2,  7]], dtype=int64), array([[12,  0],
       [ 3,  5]], dtype=int64)]"
arcene-10-disc.arff-su-0.7-lcc.arff,naive_bayes,0.67,0.42105263157894735,"[array([[11,  0],
       [ 5,  4]], dtype=int64), array([[11,  0],
       [ 5,  4]], dtype=int64), array([[10,  1],
       [ 8,  1]], dtype=int64), array([[11,  0],
       [ 7,  2]], dtype=int64), array([[12,  0],
       [ 7,  1]], dtype=int64)]"
arcene-10-disc.arff-su-0.8-lcc.arff,SVC,0.86,0.8333333333333334,"[array([[11,  0],
       [ 1,  8]], dtype=int64), array([[10,  1],
       [ 1,  8]], dtype=int64), array([[9, 2],
       [4, 5]], dtype=int64), array([[10,  1],
       [ 2,  7]], dtype=int64), array([[11,  1],
       [ 1,  7]], dtype=int64)]"
arcene-10-disc.arff-su-0.8-lcc.arff,naive_bayes,0.65,0.4067796610169492,"[array([[11,  0],
       [ 5,  4]], dtype=int64), array([[11,  0],
       [ 5,  4]], dtype=int64), array([[9, 2],
       [8, 1]], dtype=int64), array([[10,  1],
       [ 7,  2]], dtype=int64), array([[12,  0],
       [ 7,  1]], dtype=int64)]"
arcene-10-disc.arff-su-0.9-lcc.arff,SVC,0.88,0.8695652173913043,"[array([[11,  0],
       [ 1,  8]], dtype=int64), array([[8, 3],
       [0, 9]], dtype=int64), array([[10,  1],
       [ 2,  7]], dtype=int64), array([[10,  1],
       [ 1,  8]], dtype=int64), array([[9, 3],
       [0, 8]], dtype=int64)]"
arcene-10-disc.arff-su-0.9-lcc.arff,naive_bayes,0.66,0.45161290322580644,"[array([[11,  0],
       [ 5,  4]], dtype=int64), array([[10,  1],
       [ 5,  4]], dtype=int64), array([[10,  1],
       [ 7,  2]], dtype=int64), array([[10,  1],
       [ 7,  2]], dtype=int64), array([[11,  1],
       [ 6,  2]], dtype=int64)]"
arcene-10-disc.arff-su-1.0-lcc.arff,SVC,0.85,0.7945205479452054,"[array([[11,  0],
       [ 4,  5]], dtype=int64), array([[11,  0],
       [ 3,  6]], dtype=int64), array([[11,  0],
       [ 0,  9]], dtype=int64), array([[11,  0],
       [ 3,  6]], dtype=int64), array([[12,  0],
       [ 5,  3]], dtype=int64)]"
arcene-10-disc.arff-su-1.0-lcc.arff,naive_bayes,0.5,0.576271186440678,"[array([[4, 7],
       [4, 5]], dtype=int64), array([[ 1, 10],
       [ 2,  7]], dtype=int64), array([[3, 8],
       [0, 9]], dtype=int64), array([[5, 6],
       [2, 7]], dtype=int64), array([[3, 9],
       [2, 6]], dtype=int64)]"
dexter-10-disc.arff-su-0.5-lcc.arff,SVC,0.75,0.8,"[array([[19, 11],
       [ 0, 30]], dtype=int64), array([[11, 19],
       [ 0, 30]], dtype=int64), array([[17, 13],
       [ 0, 30]], dtype=int64), array([[14, 16],
       [ 0, 30]], dtype=int64), array([[14, 16],
       [ 0, 30]], dtype=int64)]"
dexter-10-disc.arff-su-0.5-lcc.arff,naive_bayes,0.5,0.6666666666666666,"[array([[ 0, 30],
       [ 0, 30]], dtype=int64), array([[ 0, 30],
       [ 0, 30]], dtype=int64), array([[ 0, 30],
       [ 0, 30]], dtype=int64), array([[ 0, 30],
       [ 0, 30]], dtype=int64), array([[ 0, 30],
       [ 0, 30]], dtype=int64)]"
